Year,Domestic/Foreign Pilgrim,Number of Pilgrims
1996,Total pilgrims,1942851
1997,Domestic pilgrims,699770
2000,Total pilgrims,1913263
2003,Foreign pilgrims,1419706
2003,Total pilgrims,2012074
2008,Domestic pilgrims,679008
2009,Domestic pilgrims,699313
2012,Domestic pilgrims,1408641
2012,Total pilgrims,3161573
2018,Total pilgrims,2371675
1997,Total pilgrims,1832114
1998,Domestic pilgrims,775268
1999,Foreign pilgrims,1267555
2000,Foreign pilgrims,1363992
2001,Domestic pilgrims,590576
2002,Total pilgrims,2041129
2004,Foreign pilgrims,1534769
2006,Domestic pilgrims,724229
2006,Foreign pilgrims,1654407
2009,Foreign pilgrims,1613965
2009,Total pilgrims,2313278
2011,Domestic pilgrims,1099522
2011,Total pilgrims,2927717
2014,Total pilgrims,2085238
2015,Foreign pilgrims,1384941
2017,Total pilgrims,2352122
2018,Domestic pilgrims,612953
1995,Domestic pilgrims,784769
1995,Foreign pilgrims,1080465
1996,Domestic pilgrims,774260
2000,Domestic pilgrims,549271
2001,Total pilgrims,1944760
2004,Domestic pilgrims,629710
2005,Domestic pilgrims,700603
2006,Total pilgrims,2378636
2007,Foreign pilgrims,1707814
2008,Foreign pilgrims,1729841
2008,Total pilgrims,2408849
2010,Domestic pilgrims,989798
2010,Foreign pilgrims,1799601
2011,Foreign pilgrims,1828195
2013,Total pilgrims,1980249
2014,Domestic pilgrims,696185
2015,Domestic pilgrims,567876
2016,Domestic pilgrims,537537
2016,Total pilgrims,1862909
2017,Domestic pilgrims,600108
2018,Foreign pilgrims,1758722
2019,Domestic pilgrims,634379
1995,Total pilgrims,1865234
1998,Total pilgrims,1831998
1999,Domestic pilgrims,571599
1999,Total pilgrims,1839154
2001,Foreign pilgrims,1354184
2002,Domestic pilgrims,610117
2003,Domestic pilgrims,592368
2004,Total pilgrims,2164479
2005,Foreign pilgrims,1557447
2005,Total pilgrims,2258050
2007,Total pilgrims,2454325
2010,Total pilgrims,2789399
2013,Foreign pilgrims,1379531
2016,Foreign pilgrims,1325372
2017,Foreign pilgrims,1752014
2019,Total pilgrims,2489406
1996,Foreign pilgrims,1168591
1997,Foreign pilgrims,1132344
1998,Foreign pilgrims,1056730
2002,Foreign pilgrims,1431012
2007,Domestic pilgrims,746511
2012,Foreign pilgrims,1752932
2013,Domestic pilgrims,600718
2014,Foreign pilgrims,1389053
2015,Total pilgrims,1952817
2019,Foreign pilgrims,1855027
